,Y
1060,0.987
1061,0.944
1062,0.98
1063,0.965
1064,0.984
1065,0.995
1066,0.957
1067,0.912
1068,0.992
1069,0.987
1070,0.97
1071,0.937
1072,0.993
1073,0.651
1074,0.989
1075,1.0
1076,0.911
1077,0.987
1078,0.986
1079,0.987
1080,0.982
1081,0.936
1082,0.991
1083,0.943
1084,0.975
1085,0.992
1086,0.966
1087,0.932
1088,0.973
1089,0.998
1090,0.976
1091,0.949
1092,0.993
1093,0.903
1094,0.999
1095,0.929
1096,0.949
1097,0.973
1098,0.859
1099,0.954
1100,0.916
1101,0.965
1102,0.976
1103,0.97
1104,0.947
1105,0.795
1106,0.998
1107,0.94
1108,0.967
1109,0.962
1110,0.916
1111,0.776
1112,0.985
1113,0.951
1114,0.598
1115,0.989
1116,0.906
1117,0.939
1118,0.852
1119,0.871
1120,0.956
1121,0.986
1122,0.945
1123,0.972
1124,0.875
1125,0.988
1126,0.974
1127,0.944
1128,0.979
1129,0.985
1130,0.481
1131,0.784
1132,0.803
1133,0.969
1134,0.965
1135,0.99
1136,0.992
1137,0.973
1138,0.977
1139,0.988
1140,0.967
1141,0.949
1142,0.959
1143,0.895
1144,0.944
1145,0.985
1146,0.976
1147,0.974
1148,0.94
1149,0.865
1150,0.956
1151,0.972
1152,0.985
1153,0.997
1154,0.918
1155,0.982
1156,0.895
1157,0.982
1158,0.875
1159,0.97
1160,0.986
1161,0.96
1162,0.971
1163,0.995
1164,0.981
1165,0.977
1166,0.821
1167,0.875
1168,0.909
1169,0.938
1170,0.971
1171,0.971
1172,0.91
1173,0.922
1174,0.962
1175,0.942
1176,0.985
1177,0.997
1178,0.958
1179,0.952
1180,0.995
1181,0.988
1182,0.936
1183,0.987
1184,0.982
1185,0.985
1186,0.965
1187,0.989
1188,0.968
1189,0.968
1190,0.956
1191,0.999
1192,0.98
1193,0.987
1194,0.994
1195,0.829
1196,0.997
1197,0.972
1198,0.946
1199,0.944
1200,0.967
1201,0.741
1202,0.967
1203,0.948
1204,0.977
1205,0.994
1206,0.981
1207,0.996
1208,0.944
1209,0.98
1210,0.955
1211,0.93
1212,0.925
1213,0.756
1214,0.911
1215,0.984
1216,0.963
1217,0.901
1218,0.989
1219,0.992
1220,0.985
1221,0.998
1222,0.86
1223,0.977
1224,0.966
1225,0.897
1226,0.96
1227,0.914
1228,0.993
1229,0.916
1230,0.974
1231,0.869
1232,0.971
1233,0.986
1234,0.953
1235,1.0
1236,0.892
1237,0.915
1238,0.901
1239,0.973
1240,0.76
1241,0.993
1242,0.985
1243,0.955
1244,0.951
1245,0.97
1246,0.96
1247,0.922
1248,0.893
1249,0.965
1250,0.927
1251,0.954
1252,0.964
1253,0.682
1254,0.963
1255,0.975
1256,0.992
1257,0.973
1258,0.945
1259,0.948
1260,0.877
1261,0.949
1262,0.996
1263,0.946
1264,0.956
1265,0.996
1266,0.962
1267,0.961
1268,0.997
1269,0.935
1270,0.981
1271,0.965
1272,0.625
1273,0.791
1274,0.992
1275,0.938
1276,0.926
1277,0.882
1278,0.986
1279,0.956
1280,0.982
1281,0.911
1282,0.981
1283,0.888
1284,0.896
1285,0.934
1286,0.981
1287,0.976
1288,0.926
1289,0.941
1290,0.823
1291,0.998
1292,0.97
1293,0.991
1294,0.845
1295,0.957
1296,0.97
1297,0.968
1298,0.825
1299,0.956
1300,0.953
1301,0.869
1302,0.947
1303,0.986
1304,0.996
1305,0.976
1306,0.983
1307,0.975
1308,0.88
1309,0.792
1310,0.994
1311,0.97
1312,0.931
1313,0.967
1314,0.942
1315,0.99
1316,0.994
1317,0.905
1318,0.975
1319,0.929
1320,0.961
1321,0.922
1322,0.939
1323,0.806
1324,0.968
1325,0.886
1326,0.588
1327,0.942
1328,0.941
1329,0.969
1330,0.513
1331,0.964
1332,0.807
1333,0.987
1334,0.995
1335,0.984
1336,0.95
1337,0.9
1338,0.974
1339,0.995
1340,0.918
1341,0.874
1342,0.967
1343,0.984
1344,0.978
1345,0.988
1346,0.919
1347,0.954
1348,0.963
1349,0.966
1350,0.978
1351,0.915
1352,0.904
1353,0.985
1354,0.964
1355,0.961
1356,0.885
1357,0.955
1358,0.967
1359,0.642
1360,0.964
1361,0.994
1362,0.701
1363,0.923
1364,0.958
1365,0.962
1366,0.986
1367,0.809
1368,0.957
1369,0.98
1370,0.915
1371,0.978
1372,0.959
1373,0.985
1374,0.985
1375,0.975
1376,0.853
1377,0.888
1378,0.896
1379,0.984
1380,0.996
1381,0.844
1382,0.298
1383,0.985
1384,0.991
1385,0.916
1386,0.989
1387,0.982
1388,0.95
1389,0.974
1390,0.863
1391,0.944
1392,0.941
1393,0.933
1394,0.959
1395,0.974
1396,0.851
1397,0.991
1398,0.976
1399,0.932
1400,0.969
1401,0.947
1402,0.96
1403,0.947
1404,0.974
1405,0.97
1406,0.986
1407,0.964
1408,0.801
1409,0.992
1410,0.953
1411,0.999
1412,0.966
1413,0.961
1414,0.996
1415,0.882
1416,0.978
1417,0.979
1418,0.976
1419,0.993
1420,0.746
1421,0.879
1422,0.984
1423,0.994
1424,0.998
1425,0.869
1426,0.785
1427,0.985
1428,0.951
1429,0.995
1430,0.936
1431,0.978
1432,0.986
1433,0.861
1434,0.36
1435,0.949
1436,0.874
1437,0.966
1438,0.948
1439,0.954
1440,0.986
1441,0.859
1442,0.979
1443,0.942
1444,0.863
1445,0.892
1446,0.948
1447,0.989
1448,0.962
1449,0.95
1450,0.975
1451,0.94
1452,0.915
1453,0.889
1454,0.972
1455,0.973
1456,0.965
1457,0.969
1458,0.985
1459,0.987
1460,0.972
1461,0.972
1462,0.978
1463,0.931
1464,0.959
1465,0.986
1466,0.971
1467,0.998
1468,0.99
1469,0.993
1470,0.982
1471,0.977
1472,0.988
1473,0.922
1474,0.986
1475,0.929
1476,0.938
1477,0.97
1478,0.947
1479,0.998
1480,0.636
1481,0.976
1482,0.951
1483,0.998
1484,0.987
1485,0.961
1486,0.934
1487,0.987
1488,0.991
1489,0.984
1490,0.969
1491,0.996
1492,0.97
1493,0.838
1494,0.943
1495,0.898
1496,0.954
1497,0.979
1498,0.905
1499,0.986
1500,0.987
1501,0.97
1502,0.976
1503,0.968
1504,0.993
1505,0.988
1506,0.923
1507,0.993
1508,0.906
1509,0.981
1510,0.96
1511,0.983
1512,0.901
1513,0.818
1514,0.95
1515,0.99
1516,0.935
1517,0.962
1518,0.962
1519,0.71
1520,0.916
1521,0.991
1522,0.989
1523,0.974
1524,0.969
1525,0.932
1526,0.984
1527,0.806
1528,0.97
1529,0.973
1530,0.961
1531,0.762
1532,0.941
1533,0.709
1534,0.922
1535,0.95
1536,0.999
1537,0.883
1538,0.993
1539,0.999
1540,0.945
1541,0.965
1542,0.979
1543,0.986
1544,0.973
1545,0.986
1546,0.991
1547,0.964
1548,0.821
1549,0.877
1550,0.984
1551,0.984
1552,0.884
1553,0.938
1554,0.954
1555,0.976
1556,0.836
1557,1.0
1558,0.985
1559,0.959
1560,0.863
1561,0.983
1562,0.911
1563,0.98
1564,0.927
1565,0.98
1566,0.99
1567,0.978
1568,0.979
1569,0.984
1570,0.992
1571,0.874
1572,0.996
1573,0.966
1574,0.954
1575,0.945
1576,0.935
1577,0.842
1578,0.985
1579,0.962
1580,0.636
1581,0.978
1582,0.973
1583,1.0
1584,0.991
1585,0.96
1586,0.976
1587,0.96
1588,0.972
1589,0.974
1590,0.967
1591,0.829
1592,0.999
1593,0.778
1594,0.948
1595,0.971
1596,0.939
1597,0.995
1598,0.972
1599,0.961
1600,0.941
1601,0.905
1602,0.94
1603,0.911
1604,0.95
1605,0.888
1606,0.967
1607,0.767
1608,0.975
1609,0.995
1610,0.951
1611,0.36
1612,0.97
1613,0.902
1614,0.973
1615,0.979
1616,0.955
1617,0.994
1618,0.978
1619,0.971
1620,0.966
1621,0.993
1622,0.938
1623,0.894
1624,0.775
1625,0.958
1626,0.985
1627,0.882
1628,0.977
1629,0.917
1630,0.991
1631,0.997
1632,0.869
1633,0.994
1634,0.91
1635,0.988
1636,0.955
1637,0.886
1638,0.974
1639,0.961
1640,0.92
1641,0.892
1642,0.975
1643,0.951
1644,0.965
1645,0.96
1646,0.946
1647,0.942
1648,0.989
1649,0.941
1650,0.622
1651,0.955
1652,0.906
1653,0.991
1654,0.893
1655,0.99
1656,0.901
1657,0.95
1658,0.967
1659,0.945
1660,0.919
1661,0.959
1662,0.921
1663,0.963
1664,0.91
1665,0.996
1666,0.467
1667,0.939
1668,0.987
1669,0.914
1670,0.986
1671,0.908
1672,0.935
1673,0.885
1674,0.997
1675,0.978
1676,0.482
1677,0.815
1678,0.989
1679,0.857
1680,0.7
1681,0.889
1682,0.932
1683,0.802
1684,0.961
1685,0.967
1686,0.908
1687,0.945
1688,0.999
1689,0.982
1690,0.985
1691,0.966
1692,0.764
1693,0.957
1694,0.997
1695,0.438
1696,0.878
1697,0.963
1698,0.991
1699,0.996
1700,0.971
1701,0.986
1702,0.995
1703,0.895
1704,0.987
1705,0.958
1706,0.973
1707,0.949
1708,0.977
1709,0.994
1710,1.0
1711,0.966
1712,0.949
1713,0.994
1714,0.905
1715,0.98
1716,0.986
1717,0.985
1718,0.97
1719,0.97
1720,0.992
1721,0.947
1722,0.928
1723,0.985
1724,0.99
1725,0.986
1726,0.934
1727,0.652
1728,0.854
1729,0.983
1730,0.967
1731,0.97
1732,0.95
1733,0.98
1734,0.929
1735,0.671
1736,0.926
1737,0.818
1738,0.986
1739,0.993
1740,0.936
1741,0.868
1742,0.986
1743,0.949
1744,0.922
1745,0.964
1746,0.995
1747,0.978
1748,0.919
1749,0.997
1750,0.957
1751,0.97
1752,0.866
1753,0.982
1754,0.982
1755,0.997
1756,0.978
1757,0.714
1758,0.988
1759,0.987
1760,0.953
1761,0.911
1762,0.942
1763,0.864
1764,0.991
1765,0.896
1766,0.346
1767,0.96
1768,0.896
1769,0.957
1770,0.973
1771,0.834
1772,0.988
1773,0.979
1774,0.978
1775,0.996
1776,0.979
1777,0.964
1778,0.985
1779,0.977
1780,0.954
1781,0.97
1782,0.957
1783,0.929
1784,0.951
1785,0.986
1786,0.935
1787,0.992
1788,0.976
1789,0.425
1790,0.69
1791,0.927
1792,0.985
1793,0.978
1794,0.865
1795,0.981
1796,0.966
1797,0.951
1798,0.991
1799,0.932
1800,0.975
1801,0.965
1802,0.975
1803,0.98
1804,0.979
1805,0.611
1806,0.822
1807,0.983
1808,0.971
1809,0.964
1810,0.909
1811,0.974
1812,0.961
1813,0.963
1814,0.911
1815,0.984
1816,0.72
1817,0.811
1818,0.993
1819,0.986
1820,0.952
1821,0.901
1822,0.978
1823,0.977
1824,0.977
1825,0.848
1826,0.98
1827,0.967
1828,0.984
1829,0.954
1830,0.965
1831,0.942
1832,0.947
1833,0.979
1834,0.975
1835,0.897
1836,0.973
1837,0.966
1838,0.99
1839,0.815
1840,0.982
1841,0.98
1842,0.99
1843,0.983
1844,0.919
1845,0.953
1846,0.983
1847,0.938
1848,0.888
1849,0.953
1850,0.934
1851,0.993
1852,0.975
1853,0.967
1854,0.984
1855,0.992
1856,0.961
1857,0.988
1858,0.943
1859,0.964
1860,0.962
1861,0.967
1862,0.991
1863,0.948
1864,0.938
1865,0.919
1866,0.975
1867,0.987
1868,0.989
1869,0.805
1870,0.992
1871,0.981
1872,0.993
1873,0.991
1874,0.724
1875,0.976
1876,0.975
1877,0.913
1878,0.971
1879,0.931
1880,0.972
1881,0.989
1882,0.967
1883,0.971
1884,0.979
1885,0.852
1886,0.898
1887,0.994
1888,0.636
1889,0.963
1890,1.0
1891,0.99
1892,0.985
1893,0.99
1894,0.99
1895,0.943
1896,0.943
1897,0.983
1898,0.968
1899,0.91
1900,0.98
1901,0.989
1902,0.981
1903,0.993
1904,0.99
1905,0.995
1906,0.814
1907,0.99
1908,0.967
1909,0.982
1910,0.927
1911,0.997
1912,0.983
1913,0.969
1914,0.991
1915,0.883
1916,0.83
1917,0.976
1918,0.991
1919,0.941
1920,0.897
1921,0.96
1922,0.857
1923,0.987
1924,0.955
1925,0.838
1926,0.955
1927,0.787
1928,0.903
1929,0.99
1930,0.966
1931,0.993
1932,0.84
1933,0.983
1934,0.948
1935,0.969
1936,0.923
1937,0.902
1938,0.936
1939,0.972
1940,0.982
1941,0.942
1942,0.971
1943,0.997
1944,0.963
1945,0.902
1946,0.973
1947,0.508
1948,0.983
1949,0.98
1950,0.935
1951,0.991
1952,0.988
1953,0.89
1954,0.773
1955,0.998
1956,0.653
1957,0.952
1958,0.961
1959,0.977
1960,0.992
1961,0.574
1962,0.971
1963,0.923
1964,0.835
1965,0.969
1966,0.911
1967,0.888
1968,0.983
1969,0.99
1970,0.97
1971,0.978
1972,0.781
1973,0.967
1974,0.564
1975,0.926
1976,0.991
1977,0.989
1978,0.998
1979,0.947
1980,0.996
1981,0.914
1982,0.927
1983,0.89
1984,0.992
1985,0.941
1986,0.94
1987,0.942
1988,0.971
1989,0.962
1990,0.994
1991,0.981
1992,0.952
1993,0.957
1994,0.941
1995,0.94
1996,0.901
1997,0.969
1998,0.995
1999,0.979
2000,0.803
2001,0.978
2002,0.988
2003,0.964
2004,0.95
2005,0.83
2006,0.82
2007,0.952
2008,0.982
2009,0.958
2010,0.981
2011,0.953
2012,0.994
2013,0.977
2014,0.964
2015,0.98
2016,0.831
2017,0.992
2018,0.99
2019,0.993
2020,0.983
2021,0.97
2022,0.888
2023,0.993
2024,0.983
2025,0.885
2026,0.983
2027,0.985
2028,0.989
2029,0.919
2030,0.968
2031,0.995
2032,0.901
2033,0.885
2034,0.985
2035,0.968
2036,0.914
2037,0.991
2038,0.965
2039,0.987
2040,0.769
2041,0.971
2042,0.879
2043,0.993
2044,0.939
2045,0.989
2046,0.976
2047,0.834
2048,0.907
2049,0.963
2050,0.968
2051,0.509
2052,0.914
2053,0.999
2054,0.996
2055,0.999
2056,0.953
2057,0.98
2058,0.897
2059,0.965
2060,0.932
2061,0.81
2062,0.907
2063,0.941
2064,0.995
2065,0.947
2066,0.946
2067,0.962
2068,0.969
2069,0.974
2070,0.967
2071,0.997
2072,0.993
2073,0.832
2074,0.97
2075,0.956
2076,0.929
2077,0.86
2078,0.954
2079,0.97
2080,0.847
2081,0.983
2082,0.941
2083,0.94
2084,0.988
2085,0.996
2086,0.995
2087,0.978
2088,0.981
2089,0.959
2090,0.303
2091,0.956
2092,0.911
2093,0.968
2094,0.979
2095,0.953
2096,0.901
2097,0.967
2098,0.901
2099,0.986
2100,0.81
2101,0.874
2102,0.901
2103,0.996
2104,0.823
2105,0.946
2106,0.97
2107,0.967
2108,0.971
2109,0.982
2110,0.921
2111,0.986
2112,0.935
2113,0.902
2114,0.961
2115,0.96
2116,0.982
2117,0.983
2118,0.727
2119,0.994
2120,0.992
2121,0.988
2122,0.947
2123,0.965
2124,0.957
2125,0.775
2126,0.998
2127,0.987
2128,0.819
2129,0.942
2130,0.986
2131,0.935
2132,0.899
2133,0.912
2134,0.865
2135,0.992
2136,0.953
2137,0.904
2138,0.953
2139,0.97
2140,0.909
