Y,F2,F24,F16,F4,F22,F10,F7,F19,F6,F5,F17
1,781,11053,121648,48,129342,138298,315517,119703,1000,119650,120347
1,17635,51168,119777,44,127763,128385,303218,118832,1000,119193,119542
1,7557,96080,119777,44,128536,128342,303218,118832,1000,118779,119126
1,17938,30034,288468,43,126512,127961,32092,118832,6000,119684,120032
1,50832,87707,279686,39,140417,127989,131483,118860,7000,120065,120413
1,22871,35497,184624,48,127445,128385,130937,118832,1000,120722,121070
1,788,13812,132005,40,127730,128342,130752,118832,2000,119325,119672
1,1153,47925,121648,42,132074,138341,315517,119703,10000,119650,120347
1,4696,90274,150856,41,129283,138223,315517,119703,1000,120528,121226
1,6262,90978,142860,35,127057,138341,142485,119703,3000,120228,120810
1,27232,89213,281314,32,127282,128385,320873,118832,2000,119558,119906
1,50754,24506,242854,46,127370,128051,303218,118832,3000,119193,119542
1,58115,43778,122518,39,126532,51008,44319,119927,1000,120312,121010
1,48474,37623,119750,50,126427,127935,32020,118806,2000,118751,119100
1,6039,25388,174506,40,130556,128412,303218,118832,1000,118779,119126
1,101829,91395,308799,37,129297,138384,146514,119703,2000,125414,126112
1,7666,13812,119777,38,127744,128299,303218,118832,1000,118779,119126
1,17808,44630,119777,44,128473,128224,303218,118832,5000,118779,119126
1,4309,90915,126849,36,129286,138341,145116,119703,1000,124789,125487
1,18704,89804,119777,33,130432,128385,303218,118832,2000,118779,119126
1,113124,84215,295793,43,137677,128315,130937,119186,1000,120722,121070
1,33303,85970,164032,38,138146,139254,143236,218447,1000,121593,122291
1,4654,45706,124223,33,127730,128040,130752,118773,1000,121825,122173
1,831,34152,156682,44,126565,139068,317393,120494,1000,120824,283230
1,1963,35022,223438,35,126999,128573,131483,119444,3000,120065,120413
1,14656,43569,122345,37,127541,128051,303218,118832,8000,119657,120005
1,4004,55460,121648,40,127326,138050,315517,119703,18000,120064,120763
1,46222,55240,209979,39,127509,138886,142996,120629,9000,120634,121332
1,20596,35130,142383,34,129563,131012,131305,121735,2000,121888,122236
1,54321,84407,128210,41,127041,128326,130752,118832,1000,119325,119672
1,2361,41407,313312,38,127184,129691,131994,120562,1000,123840,124188
1,31090,47528,119784,33,126444,128579,130186,119083,6000,118759,119106
1,742,16114,119777,40,127730,128299,303218,118832,18000,119657,120005
1,78481,25850,124766,44,143865,138176,317393,120297,1000,120685,261615
1,5333,91389,122036,38,128457,139595,142893,121338,2000,120038,120735
1,228,44870,242854,41,127295,128385,303218,118832,9000,118779,119126
1,5433,103754,122701,39,128613,138341,143558,119703,1000,122516,123215
1,17807,86522,120656,37,128535,128051,303218,118832,3000,119657,120005
0,13850,83243,187488,37,127050,127961,320873,118832,2000,119650,119998
1,2961,31513,297373,46,129728,138886,143022,120629,157000,260178,260876
1,17243,111756,189659,31,28321,128299,132817,118832,1000,138892,139240
1,6089,119439,119777,37,130556,128412,303218,118832,1000,119193,119542
1,4949,87332,245658,40,128575,128290,130723,119161,2000,119296,119643
1,3920,25501,136541,42,128607,138341,333172,119703,6000,120281,120978
1,1526,41407,242854,50,129212,128224,303218,118832,4000,119657,120005
1,4413,29501,152698,42,127146,128299,130723,118832,1000,119296,119643
1,5059,31518,313033,47,127251,138886,143022,120629,1000,120656,121354
1,1177,50462,121648,40,126972,137960,315517,119703,1000,120064,120763
1,1689,43282,183473,50,127127,138325,142485,119703,1000,119715,182173
1,1940,90317,124058,43,127134,138341,333172,119703,2000,120429,121127
1,3962,96228,119777,43,127063,128342,303218,118832,10000,118779,119126
0,16015,87339,284530,33,127877,139254,317393,119703,2000,120824,283230
1,5174,41407,120165,36,128439,128290,130594,119161,1000,119167,119514
1,46291,88539,127623,45,134930,138325,143241,119703,1000,120386,121083
1,1485,33058,129031,47,127382,128342,130723,118832,12000,119707,120055
1,22468,14811,283185,48,134849,138411,333172,119703,2000,120521,121219
1,25782,31052,294066,33,126557,128006,32020,118877,1000,119441,119789
1,19679,42514,121648,33,127101,138411,315517,119703,9000,120528,121226
1,17193,28449,201429,33,127430,138298,44391,119703,5000,124826,125524
1,21881,38430,163749,25,135194,137967,142996,119703,4000,122391,123089
1,49133,39833,163459,34,126998,179714,143051,119954,1000,122696,123394
1,13172,84614,141667,38,129155,138223,142485,119703,1000,119715,182173
1,2304,36050,120830,46,129100,127902,131259,118773,18000,121645,121994
1,50506,47856,120048,43,126427,128079,130186,118950,4000,118759,119106
1,17255,27385,273148,44,127015,138298,142996,119703,4000,124810,125509
1,120359,26415,129973,42,127625,130342,130723,121213,2000,121217,121565
1,2628,52673,170236,56,130528,128326,130504,118832,3000,119190,119539
1,53208,311186,202185,42,28321,128299,130630,118832,2000,119203,308245
1,17576,10157,170236,52,127255,128025,130504,92132,2000,119190,119539
1,26707,76854,137104,36,126427,127932,130186,118803,3000,124722,125071
0,34648,13963,121648,30,126940,138325,315517,119703,1000,120064,120763
1,82227,52167,143429,38,127142,138461,333172,120057,1000,120429,121127
1,34140,44095,119777,42,126869,128177,303218,119426,2000,119193,119542
1,51122,32318,191867,44,126427,127876,32020,118747,1000,119441,119789
1,5469,52325,121648,39,127011,138325,315517,119703,1000,119650,120347
1,16545,84603,170236,41,131487,128025,130504,92132,10000,120835,121183
0,4700,25834,129408,36,130918,138223,143236,119703,1000,120381,121078
1,14617,36573,121639,41,126515,138578,142485,119954,2000,119640,120338
1,111973,36030,121648,40,127403,138298,315517,119703,2000,120528,121226
1,70103,90128,172107,46,126822,138024,142803,93003,8000,121706,122404
1,4583,12990,119777,36,130510,128385,303218,118832,1000,118779,119126
0,15931,26154,315364,30,128924,138050,143236,119703,1000,121593,122291
1,2086,86639,278293,42,140417,128075,131483,118851,6000,120065,120413
1,17658,44592,170236,43,127255,128051,130504,118832,1000,119190,119539
1,16575,10160,119777,36,128867,128326,303218,118832,4000,119657,120005
1,50506,47856,120048,41,126427,128079,32020,118950,32000,118751,119100
1,4638,51748,123744,39,127730,128299,303218,118832,1000,119657,120005
1,311733,11287,124733,34,127127,137901,142996,119644,1000,122734,123432
1,5271,82281,190242,41,128675,128887,130594,119758,1000,119853,120201
0,2649,46186,121648,41,132521,138384,315517,119703,1000,119650,120347
1,25790,47080,119768,27,126490,128006,32020,118877,1000,118771,119120
1,16280,45060,132489,42,127553,138325,143241,119703,2000,120585,121283
1,4398,28208,289848,44,127243,138572,317393,120315,114000,120739,121437
1,16591,34179,256265,36,205372,127968,266694,118832,1000,255267,236572
1,275562,40369,181731,47,126427,127876,32020,118747,1000,119441,119789
1,11550,30435,200840,39,126540,137928,144732,119671,115000,121877,122574
1,60198,52997,119757,44,126490,128010,32020,118787,3000,118751,119100
1,70497,23707,119757,32,126490,128953,32020,119824,1000,118751,119100
1,15664,10054,312479,51,128345,128342,130630,118832,6000,119203,308245
1,4329,83126,273205,42,127063,129090,130752,119933,2000,119620,119968
1,4987,86037,315102,37,128218,138341,143022,119703,1000,122088,122786
1,15982,27133,155989,48,130237,138289,146218,120032,2000,126543,127241
1,3260,89670,119777,41,127063,128342,303218,118832,1000,119193,119542
1,16793,84548,121648,42,148297,150598,315517,120804,1000,119650,120347
1,1106,43851,119925,48,128379,128326,130186,118832,2000,118926,119275
1,1568,54437,122385,40,131722,128224,130186,118832,1000,118926,119275
1,5247,15309,137428,36,128218,138341,143022,119703,1000,121177,121875
1,27120,42376,149019,35,127056,128326,130697,118832,1000,119736,120084
1,1651,85598,133876,43,128791,138325,143051,119703,1000,120491,121189
1,16875,288529,314350,41,128990,138411,142929,119703,1000,120074,309466
1,18468,54618,242854,38,127370,128051,303218,118832,1000,118779,119126
1,4621,90839,121648,38,128917,138298,315517,119703,1000,120064,120763
1,6238,25328,124141,35,130194,128326,130942,118832,1000,123142,123490
1,15931,106652,130039,43,128606,138050,333172,119703,10000,120429,121127
1,4375,38845,120319,35,128291,128051,303218,118832,1000,119193,119542
1,32832,30358,197386,42,127243,138255,317393,119998,1000,120824,283230
1,5064,36129,137428,40,128218,138341,143022,119703,1000,120578,121276
1,819,12388,244725,37,136142,138411,315517,119703,4000,120528,121226
1,17628,46024,119768,45,126433,128006,32020,118877,4000,118771,119120
1,5030,36496,313033,38,127599,138341,143022,119703,1000,120656,121354
0,6913,37552,125055,37,126540,137977,44319,119720,2000,120312,121010
1,55292,90661,283260,36,126576,128025,261917,92132,2000,122016,122364
1,1792,89228,141164,37,127843,137960,143241,119703,1000,127537,128235
1,31869,88229,245927,46,126433,41009,32020,119056,5000,119441,119789
1,4292,16815,131429,55,127293,128326,131003,118832,1000,122287,122635
1,83952,85065,255809,43,129088,148798,130942,139669,16000,119515,119862
1,1484,113256,124432,42,129342,138341,315517,119703,1000,122434,123132
1,5048,35497,135557,37,128675,128342,130723,118832,1000,120306,120654
1,27232,50252,134586,31,127241,128385,303218,118832,1000,119132,119480
1,5290,85408,192113,36,128746,138886,142893,120629,1000,120724,121422
1,5040,41407,311162,42,127180,128887,130723,119758,1000,119785,120133
1,2895,15900,132094,30,126964,138218,142945,119961,1000,129590,130289
1,4003,49518,121648,37,130632,138341,315517,119703,1000,119650,120347
1,4773,91486,208335,31,126921,138298,142929,119703,1000,120074,309466
1,2799,43310,132005,36,127332,128299,130752,118832,1000,119325,119672
1,5767,83892,141235,44,127453,138444,143360,119703,1000,122322,123020
1,69107,38908,145689,49,126519,128299,130186,118832,1000,118844,180952
1,8534,44513,120606,31,127282,128385,131035,118832,1000,119608,119955
1,109381,84971,120909,37,128691,130140,130186,121011,1000,118844,180952
1,26001,29431,162628,39,127148,127916,130186,118787,1000,118844,180952
1,25299,35377,262110,31,126940,138325,333172,119703,1000,120281,120978
0,2612,24794,304701,42,128959,128299,16972,118832,9000,129102,129451
0,51025,38397,119777,34,129075,128412,303218,118832,8000,119193,119542
1,51110,85970,261252,44,128670,138223,27728,119703,1000,124604,125302
1,7106,49398,125668,46,132464,138384,315517,119703,1000,120528,121226
1,2616,34886,269823,45,126494,128169,305094,119040,2000,119953,282009
1,3906,49520,121648,34,128670,138223,315517,119703,1000,120064,120763
1,66737,83439,127808,32,126469,127989,32020,118860,1000,119441,119789
1,7557,83623,119777,33,128536,128342,303218,118832,1000,119193,119542
1,69163,47870,121759,38,128044,138089,142485,119832,1000,119715,182173
1,187,51484,119777,42,130188,128412,303218,118832,1000,119193,119542
0,21051,27555,168464,36,132298,128299,130937,118832,2000,120722,121070
1,15534,83153,134546,44,128966,128051,131003,118832,1000,120460,120808
1,3710,13812,119777,38,134778,128412,303218,118832,7000,119193,119542
1,70,48949,121648,39,128588,138411,315517,119703,2000,119650,120347
1,51803,51080,122548,45,127176,138039,317393,119644,1000,120018,120716
1,4579,42709,306572,31,129171,138223,29271,119703,2000,129973,130672
1,8711,45086,131664,40,128938,138325,315517,119703,15000,122434,123132
1,31888,48341,121628,28,126504,51008,44319,119927,3000,119622,120321
1,5921,45963,138211,33,126490,127939,32092,118800,8000,120196,120544
1,6295,43720,242854,35,126986,128342,303218,118832,4000,118779,119126
1,7097,45110,264271,35,127063,128342,320873,118832,8000,119558,119906
0,49320,17679,121648,41,127815,138298,315517,119703,1000,120064,120763
1,46683,28208,134655,45,126565,139279,317393,121022,1000,120824,283230
1,17344,87311,137017,47,127295,128385,130504,118832,1000,134179,134527
0,13831,30500,128789,35,129037,138050,143302,119703,1000,120447,121144
1,64771,51745,143830,40,126427,128079,32020,118950,2000,118751,119100
1,3771,34868,312460,43,126909,128299,130937,118832,1000,119510,119857
1,16116,54581,242850,45,128720,128326,130697,118832,3000,121520,121868
1,8538,49575,170236,37,128503,128385,130504,118832,1000,119190,119539
1,56700,43282,124733,38,127127,139089,142996,120804,1000,122734,123432
1,54299,52219,133159,44,127180,130342,130942,121213,2000,128596,128944
0,3131,34373,129031,37,128147,128342,130723,118832,1000,120306,120654
1,55656,50451,138619,40,127172,129280,305094,120151,2000,119868,120216
1,55593,90953,272401,31,127599,138050,142803,119703,1000,120061,120760
1,8186,13812,170236,39,128503,128385,130504,118832,1000,119190,119539
1,4148,48460,119777,39,127430,128051,303218,118832,1000,118779,119126
1,4927,41407,224996,39,127007,128299,130723,118832,1000,121370,121718
1,25011,91660,121890,36,126647,138024,142485,93003,1000,119772,120470
1,70301,41336,315364,35,127057,138341,142929,119703,4000,120267,120965
0,7000,29112,281314,38,127332,128299,320873,118832,1000,119650,119998
1,1430,89692,132005,45,127730,127902,130752,118773,1000,119325,119672
1,889,41135,122701,40,130835,137960,143558,119703,3000,122516,123215
1,4361,36434,134590,45,127209,128342,130630,118832,14000,119203,308245
1,2391,42491,160993,34,127050,127961,320873,118832,1000,119558,119906
1,6065,50416,281314,34,128919,128412,320873,118832,3000,119650,119998
1,14776,83615,134525,38,128603,128224,131003,118832,3000,119576,119923
1,111973,25808,244725,37,127403,138298,315517,119703,1000,119650,120347
1,33682,49767,133565,44,126490,128090,32020,118961,2000,119441,119789
1,16545,53380,119777,45,126751,128025,303218,92132,1000,118779,119126
1,6500,50780,242854,35,127370,128342,303218,118832,1000,118779,119126
1,19368,28449,130499,53,126490,128095,32020,118966,244000,118771,119120
1,11970,13989,298227,50,127762,138341,142929,119703,3000,120074,309466
1,13881,34152,314350,41,128615,138325,142929,119703,4000,120267,120965
1,4511,32454,122190,37,127684,138444,315517,119703,1000,120064,120763
1,17128,69064,291093,35,127023,138223,142485,119703,2000,119797,120496
1,6024,54088,121648,42,24852,138444,315517,119703,5000,120064,120763
1,13809,10424,129396,33,126453,127961,131259,118832,1000,121645,121994
1,13459,12401,281314,40,128330,128224,282787,118832,1000,119080,119428
1,49979,52516,119777,38,126952,128224,303218,118832,1000,118779,119126
1,15924,43384,130259,39,128976,138050,143210,119703,1000,128260,128958
1,52499,88229,119768,41,126427,127983,32020,118854,1000,118751,119100
1,52953,52512,124619,37,126498,138100,44319,119632,1000,120312,121010
1,59802,89228,308371,40,130581,138384,143022,119703,6000,125896,126594
1,29799,53108,132705,31,127863,138050,142485,119703,1000,119797,120496
1,2307,42406,122701,42,286313,138411,143558,119703,1000,120703,121400
1,4982,45060,314331,54,126980,138298,143236,119703,2000,120381,121078
1,15541,90124,312460,35,128608,127902,130937,118773,1000,119510,119857
1,127756,15827,132005,42,126952,128224,130752,118832,1000,119325,119672
1,5406,15494,121648,46,130627,138411,315517,119703,2000,120064,120763
1,46261,39831,133876,37,126998,138325,143051,119703,1000,122696,123394
1,51779,16680,119777,38,128919,128412,303218,118832,1000,119193,119542
1,70203,88229,195512,44,28215,127968,130697,118832,1000,119270,119617
1,20534,41995,128910,50,126841,138218,44319,119961,4000,120312,121010
1,65544,51001,121648,44,127801,137999,315517,119742,1000,119650,120347
1,15413,10106,214381,43,128345,128256,134215,119127,3000,124543,124891
1,18199,28868,119777,37,127063,128342,303218,118832,1000,118779,119126
1,17705,47256,130652,47,126490,128219,32020,119090,3000,118751,119100
1,5446,14811,244725,35,128613,138341,315517,119703,1000,120064,120763
1,3136,82893,310994,40,127007,128299,130723,118832,5000,121662,122010
1,52471,14811,121648,42,132092,138211,315517,119954,1000,119650,120347
1,5311,89882,276149,36,127209,128290,130723,119161,5000,121217,121565
1,1430,88500,132005,44,127730,127902,130752,118773,1000,119325,119672
1,50539,24802,251541,41,126561,137909,44319,119652,4000,120312,121010
1,4687,42217,119777,35,126940,128326,303218,118832,1000,119193,119542
1,51109,12856,156757,40,132815,131012,130723,121735,1000,119699,120047
1,32316,13989,310537,41,127255,139690,144293,121433,1000,124711,125409
1,3887,88229,237873,43,138166,128224,130752,118832,3000,119620,119968
1,18199,30552,119777,35,127063,128342,303218,118832,1000,118779,119126
1,2600,51791,135704,46,130259,128342,130630,118832,1000,119203,308245
1,53168,10418,127552,46,137484,129090,130697,119933,1000,119763,120111
1,75274,39719,296381,44,128345,130864,130937,121735,1000,127693,128041
1,28908,53008,211777,30,133693,128326,134331,118832,1000,125648,125996
1,72324,27444,121785,33,126662,146917,295086,128660,1000,119788,120485
1,1056,10718,128121,29,127438,128887,130697,119758,1000,119763,120111
1,13074,55746,121639,41,126628,138005,44319,119748,1000,119622,120321
1,17096,36567,122990,41,126565,138039,317393,119644,1000,120018,120716
1,6036,16680,242854,45,130556,128412,303218,118832,1000,119657,120005
1,18256,26445,120319,39,127233,128445,303218,118832,3000,119193,119542
1,1012,88465,126561,37,128861,128299,130937,118832,39000,120722,121070
1,4567,51158,119777,31,128599,128224,303218,118832,1000,118779,119126
1,124,90731,121648,37,127067,138444,315517,119703,2000,120064,120763
1,2625,36726,151215,37,127670,129069,305094,119623,1000,119147,119495
1,7257,90909,227093,35,129171,138223,315517,119703,1000,120064,120763
1,7416,13818,119777,30,128473,128224,303218,118832,1000,119193,119542
0,5046,83070,246715,38,127445,128385,130937,118832,1000,120722,121070
1,18704,43163,119777,33,130432,128385,303218,118832,1000,119193,119542
1,4677,42420,119777,43,129212,128224,303218,118832,1000,119193,119542
1,21321,10108,251491,40,128439,128299,130594,118832,1000,121221,121569
1,5533,53410,121648,34,126822,138024,315517,93003,6000,120064,120763
1,1933,35130,119777,45,127730,128299,303218,118832,1000,119657,120005
1,5670,89357,126273,34,129854,128299,303218,118832,2000,119657,120005
1,8361,36317,170236,45,127852,129301,320873,120172,2000,119650,119998
1,55845,42779,283606,43,126490,127939,32020,118800,2000,119441,119789
1,52145,17113,121648,41,128613,138341,315517,119703,1000,120064,120763
1,5280,44019,284465,41,132682,129596,130723,120467,1000,121217,121565
1,15584,90039,312929,33,137188,130864,130697,121735,1000,150210,150558
1,16753,13812,119777,50,127332,128299,303218,118832,1000,119193,119542
1,4987,41435,240477,36,127531,138341,143022,119703,4000,120570,121268
1,2873,311186,141381,44,127811,128169,305094,119040,3000,118819,119167
1,5757,26445,134027,42,127233,128445,130966,118832,2000,127981,128329
1,3037,91009,121648,44,129171,138223,315517,119703,1000,119650,120347
1,6275,48767,119777,37,129271,128342,303218,118832,1000,118779,119126
1,1976,15030,302474,40,126927,128441,131483,119312,1000,120065,120413
1,174,13812,119777,43,130188,128412,303218,118832,1000,119657,120005
1,763,32331,132005,37,126986,128299,130752,118832,1000,119325,119672
1,3153,28554,240477,40,156209,138298,143022,119703,3000,120570,121268
1,16281,27444,121648,35,128938,138050,315517,119703,1000,120528,121226
1,7019,45634,121648,40,127403,138298,315517,119703,22000,119650,120347
1,7496,84568,138846,38,131292,137952,143468,6852,5000,127495,128193
1,1948,10114,283163,45,131419,132973,282787,123751,1000,120970,121318
1,122290,54921,119777,42,130822,128224,303218,118832,2000,118779,119126
1,1430,43142,132005,39,127730,127902,130752,118773,5000,119325,119672
1,235,16680,242854,44,128919,128412,303218,118832,2000,119193,119542
1,2304,40578,119777,41,286242,127902,303218,118773,21000,118779,119126
1,23191,85214,160025,37,126937,138314,142929,120057,1000,121671,122370
1,15842,26070,122195,36,128872,128224,131394,118832,1000,123721,124070
0,21178,23491,127523,39,126469,128095,32020,118966,1000,119441,119789
1,8044,10157,149287,46,132205,128385,130504,118832,9000,120835,121183
1,2108,30487,122245,37,127121,137960,143102,119703,1000,120247,120944
1,5133,84409,221700,40,127180,128299,130630,118832,1000,120800,121149
1,7571,83615,242854,41,126952,128224,303218,118832,33000,118779,119126
1,14892,34102,157544,43,132339,138298,143051,119703,1000,120196,120893
1,7576,80217,121648,41,128607,138341,315517,119703,1000,119650,120347
1,70683,11156,124433,56,127553,138325,315517,119703,1000,122434,123132
1,4359,109634,215815,40,127506,128299,303218,118832,1000,119657,120005
1,89322,14811,141017,42,133721,145098,315517,120400,1000,120528,121226
1,6518,90576,200835,40,132074,138341,315517,119703,1000,120064,120763
1,7953,85931,119777,37,129088,128051,303218,118832,1000,119193,119542
1,6234,108598,308270,41,126877,128326,130942,118832,1000,119515,119862
1,1387,89143,121648,36,128716,138050,315517,119703,1000,119650,120347
1,4022,25649,232701,47,127405,128342,130752,118832,2000,119325,119672
0,59325,87018,121648,45,212674,138325,315517,119703,2000,120064,120763
1,7840,54927,176316,32,127041,128326,320873,118832,1000,119650,119998
1,124962,55920,122190,43,130893,138223,315517,119703,1000,120064,120763
1,128582,84215,123427,34,127071,128462,303218,119186,1000,119657,120005
1,14749,105746,172536,39,126996,128445,16972,118832,5000,122467,122815
1,57598,49890,133265,41,126999,128169,130937,119040,12000,119510,119857
1,2432,43190,305276,49,128108,138298,274216,119703,1000,119917,120614
1,84809,88132,310537,42,130314,138325,143819,119703,3000,123766,124464
1,4968,42385,313231,37,128147,128342,130723,118832,3000,121217,121565
1,7590,89950,121648,42,127023,138223,315517,119703,1000,120064,120763
1,254,26437,121648,39,128990,138411,315517,119703,1000,120064,120763
1,56639,69861,124061,39,126498,138078,44319,119821,1000,119622,120321
1,7051,32818,122002,36,128581,138444,315517,119703,1000,120021,120720
1,70664,83882,122562,44,127482,128326,303218,118832,1000,121563,121911
1,5675,50835,119777,38,129725,128299,303218,118832,59000,119193,119542
1,51013,85176,121648,41,128588,138411,315517,119703,33000,120528,121226
1,16887,11156,136261,39,127712,138223,143693,119703,1000,120838,121535
1,2362,89678,271277,31,129372,128212,130697,119083,12000,119270,119617
1,14818,83289,119777,47,126901,127961,303218,118832,2000,119657,120005
1,2678,104297,121648,46,127011,138325,315517,119703,1000,120064,120763
1,3454,83646,122750,35,126662,138168,142485,119911,3000,119797,120496
1,69667,48078,121628,36,126628,138180,142485,119923,1000,119630,120327
1,55286,104518,119777,41,128056,128025,303218,92132,1000,118779,119126
1,53194,33098,313312,47,127519,127968,130697,118832,1000,119763,120111
1,13851,55113,137428,47,128218,138341,143022,119703,2000,122241,122939
1,135377,41407,126297,42,127625,130342,130723,121213,3000,119707,120055
1,4696,17113,150856,43,129283,138223,315517,119703,7000,120528,121226
1,226,53958,244725,36,130259,138411,315517,119703,2000,119650,120347
1,12779,38441,119757,33,126469,127975,32020,118846,1000,118751,119100
1,3901,44019,134670,45,128536,128342,320873,118832,1000,119410,119757
1,4965,30500,225781,47,127041,138298,143022,119703,11000,122088,122786
1,6089,26445,120319,39,130556,128412,303218,118832,1000,119193,119542
1,17076,51143,303405,46,128037,128299,130594,118832,1000,119601,119949
1,17290,30500,314739,40,129018,138050,143022,119703,2000,122088,122786
1,6217,29082,119777,41,129212,128224,303218,118832,1000,119193,119542
1,111577,10109,131722,39,128373,128224,131003,118832,2000,119576,119923
1,4326,42386,139233,32,127382,128342,130186,118832,1000,118926,119275
1,111954,34229,119777,47,127332,128299,303218,118832,2000,119657,120005
1,14927,48078,121621,39,126498,137934,44319,119677,29000,119622,120321
1,9991,37552,170590,36,126540,138741,44319,120484,1000,120312,121010
1,3674,25776,155156,40,127180,128299,130966,118832,14000,119797,120145
1,49907,84215,128997,39,126953,128462,303218,119186,13000,119657,120005
1,3279,35706,121648,55,127134,138341,315517,119703,4000,119650,120347
1,4589,12401,281314,40,128473,128224,320873,118832,1000,119650,119998
1,17345,86504,119777,45,127233,128445,303218,118832,1000,119657,120005
1,1792,47688,141164,46,127843,137960,143241,119703,1000,127537,128235
1,8266,15309,152988,41,129925,138298,27728,119703,1000,121095,121793
1,57201,30420,121655,47,126504,137974,142485,119717,3000,119630,120327
1,5748,82893,139364,39,128575,128445,131061,118832,1000,121451,121799
1,7302,84184,119777,32,126751,128025,303218,92132,1000,119193,119542
1,6084,41777,244725,34,128990,138411,315517,119703,1000,120064,120763
1,56782,85214,121648,54,126822,138314,315517,120057,101000,120064,120763
1,4589,24033,281314,40,128473,128224,320873,118832,1000,119650,119998
1,72324,41488,121785,39,126662,146917,295086,128660,1000,119788,120485
1,57815,51568,308275,33,178448,129596,130630,120467,1000,120800,121149
1,74921,34057,121785,40,126662,146917,295086,128660,1000,119788,120485
1,56230,85030,121648,44,129030,138298,315517,119703,1000,120528,121226
1,7669,16680,119777,43,127295,128385,303218,118832,1000,119193,119542
1,75001,84577,149796,36,126433,128200,32020,119071,1000,119441,119789
1,4606,24812,119777,36,126952,128224,303218,118832,2000,119193,119542
1,96597,17679,121648,39,13294,138325,315517,119703,2000,119650,120347
1,15413,42778,136545,46,126565,138255,142729,119998,1000,119874,120571
1,123350,50019,121915,42,126791,138289,274216,120032,1000,119917,120614
1,1568,54437,125045,29,131722,128224,131394,118832,1000,119967,120314
1,1781,36958,156180,38,128791,138289,142996,120032,2000,120607,121305
1,23458,89716,312479,47,126958,127961,130630,118832,2000,119396,119744
1,56672,47080,120909,37,126427,128163,130186,248823,2000,118844,180952
1,95517,29856,125530,34,128919,141784,143210,123527,1000,122866,123564
