Y,F2,F3,F4,F5,F6,F7,F8,F10,F11,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24
1,801,0,35,122467,1000,16972,1,128412,1,1,128356,122815,1,118832,1,1,136071,1,40824
1,50374,0,42,120771,1000,32092,1,127975,1,1,312696,121120,1,118846,1,1,127359,1,41079
1,34630,0,41,118779,1000,303218,1,128326,1,1,242854,119126,1,118832,1,1,126869,1,52572
1,18704,1,41,119193,1000,303218,1,128385,1,1,119777,119542,1,118832,1,1,130432,1,35088
1,1061,0,31,119515,1000,130942,1,128326,1,1,308270,119862,1,118832,1,1,134859,1,34235
1,123350,0,35,119917,2000,274216,1,138168,1,1,121915,120614,1,119911,1,1,134477,1,85970
1,3912,0,34,119650,1000,315517,1,138325,1,1,121648,120347,1,119703,1,1,128938,1,11156
1,50497,0,43,120570,1000,143022,1,138289,1,1,315377,121268,1,120032,1,1,127251,1,12787
1,4761,0,46,118779,19000,303218,1,129090,1,1,119777,119126,1,119933,1,1,129212,1,15842
1,74446,0,42,120236,7000,130966,1,128025,1,1,309081,120584,1,92132,1,1,127911,2,51230
1,71226,0,41,121706,3000,142803,1,138384,1,1,134930,122404,1,119703,1,1,130503,1,85214
1,59767,0,45,137573,1000,136786,1,128315,1,1,164053,137922,1,119186,1,1,127013,1,50056
1,31614,0,42,119622,1000,44319,1,138489,1,1,121628,120321,1,12888,1,1,126561,1,12105
1,8645,0,41,121174,3000,132601,1,129090,1,1,122172,121521,1,119933,1,1,128848,1,36261
1,9415,0,37,119630,1000,142485,1,137909,1,1,121655,120327,1,119652,1,1,126504,1,48854
1,6089,0,44,119193,1000,303218,1,128412,1,1,120319,119542,1,118832,1,1,130556,1,30594
1,3875,0,36,119650,3000,315517,1,138223,2,1,244725,120347,1,119703,1,2,128544,1,11150
1,125503,0,41,120607,1000,142996,1,137901,1,1,168788,121305,1,119644,1,1,128791,1,11717
1,56643,0,44,119622,1000,44319,1,138078,1,1,308261,120321,1,119821,1,1,126498,1,54013
1,7728,0,47,119147,1000,305094,1,128040,1,1,120677,119495,1,118773,1,1,127172,1,53918
0,4256,0,37,122057,1000,143022,1,138298,1,1,160976,122755,1,119703,1,1,128932,1,86560
1,6908,0,41,119193,14000,303218,1,128445,1,1,119777,119542,1,118832,1,1,128866,1,89284
0,15907,0,36,119576,1000,131003,1,128051,2,1,126918,119923,1,118832,1,1,128966,1,51230
1,49868,0,43,119132,9000,303218,1,128412,1,2,211923,119480,1,118832,1,1,130556,1,13812
1,21317,0,36,122434,1000,315517,1,138384,1,1,131664,123132,1,119703,1,4,128981,1,26020
1,13869,0,37,119203,1000,130630,1,128385,1,1,296356,308245,1,118832,1,1,127071,1,51168
1,2474,0,46,127829,1000,143819,1,138289,1,1,256889,128527,1,120032,1,1,28392,1,85970
1,88607,0,34,120064,1000,315517,1,138411,2,1,121648,120763,1,119703,1,1,128990,1,35048
1,833,0,34,118779,1000,303218,1,128299,1,1,119777,119126,1,118832,1,1,132268,1,87321
1,781,0,48,119650,1000,315517,1,138298,1,1,121648,120347,1,119703,1,1,129342,2,11053
1,17635,0,44,119193,1000,303218,1,128385,1,1,119777,119542,1,118832,1,1,127763,1,51168
1,7557,0,44,118779,1000,303218,1,128342,1,1,119777,119126,1,118832,1,1,128536,1,96080
1,17938,0,43,119684,6000,32092,1,127961,1,1,288468,120032,1,118832,1,1,126512,1,30034
1,50832,0,39,120065,7000,131483,1,127989,1,2,279686,120413,1,118860,1,1,140417,1,87707
1,22871,0,48,120722,1000,130937,1,128385,1,1,184624,121070,1,118832,1,1,127445,1,35497
1,788,0,40,119325,2000,130752,1,128342,1,1,132005,119672,1,118832,1,1,127730,1,13812
1,1153,0,42,119650,10000,315517,1,138341,1,1,121648,120347,1,119703,1,1,132074,1,47925
1,4696,0,41,120528,1000,315517,1,138223,1,1,150856,121226,1,119703,1,1,129283,1,90274
1,6262,0,35,120228,3000,142485,1,138341,1,1,142860,120810,1,119703,1,1,127057,1,90978
1,27232,0,32,119558,2000,320873,1,128385,1,1,281314,119906,1,118832,1,1,127282,1,89213
1,50754,0,46,119193,3000,303218,1,128051,1,1,242854,119542,1,118832,1,1,127370,1,24506
1,58115,0,39,120312,1000,44319,1,51008,1,1,122518,121010,1,119927,1,1,126532,1,43778
1,48474,0,50,118751,2000,32020,1,127935,1,1,119750,119100,1,118806,1,1,126427,1,37623
1,6039,0,40,118779,1000,303218,1,128412,1,1,174506,119126,1,118832,1,1,130556,1,25388
1,101829,0,37,125414,2000,146514,1,138384,1,1,308799,126112,1,119703,1,1,129297,1,91395
1,7666,0,38,118779,1000,303218,1,128299,1,1,119777,119126,1,118832,1,1,127744,1,13812
1,17808,0,44,118779,5000,303218,1,128224,1,1,119777,119126,1,118832,1,1,128473,1,44630
1,4309,0,36,124789,1000,145116,1,138341,1,1,126849,125487,1,119703,1,1,129286,1,90915
1,18704,0,33,118779,2000,303218,1,128385,1,1,119777,119126,1,118832,1,1,130432,1,89804
1,113124,1,43,120722,1000,130937,1,128315,1,1,295793,121070,1,119186,1,1,137677,1,84215
1,33303,0,38,121593,1000,143236,1,139254,1,1,164032,122291,1,218447,1,1,138146,1,85970
1,4654,0,33,121825,1000,130752,1,128040,1,1,124223,122173,1,118773,1,1,127730,1,45706
1,831,0,44,120824,1000,317393,2,139068,1,1,156682,283230,1,120494,1,1,126565,1,34152
1,1963,0,35,120065,3000,131483,2,128573,1,1,223438,120413,1,119444,1,1,126999,1,35022
1,14656,1,37,119657,8000,303218,1,128051,2,1,122345,120005,1,118832,1,1,127541,1,43569
1,4004,0,40,120064,18000,315517,1,138050,1,1,121648,120763,1,119703,1,1,127326,1,55460
1,46222,0,39,120634,9000,142996,1,138886,1,1,209979,121332,1,120629,1,1,127509,1,55240
1,20596,0,34,121888,2000,131305,1,131012,1,1,142383,122236,1,121735,1,1,129563,1,35130
1,54321,0,41,119325,1000,130752,1,128326,1,1,128210,119672,1,118832,1,1,127041,2,84407
1,2361,1,38,123840,1000,131994,1,129691,1,1,313312,124188,1,120562,1,1,127184,1,41407
1,31090,0,33,118759,6000,130186,1,128579,1,1,119784,119106,1,119083,1,1,126444,1,47528
1,742,0,40,119657,18000,303218,1,128299,1,1,119777,120005,1,118832,1,1,127730,1,16114
1,78481,0,44,120685,1000,317393,1,138176,1,1,124766,261615,1,120297,1,1,143865,1,25850
1,5333,0,38,120038,2000,142893,1,139595,1,1,122036,120735,1,121338,1,1,128457,1,91389
1,228,0,41,118779,9000,303218,1,128385,1,1,242854,119126,1,118832,1,1,127295,1,44870
1,5433,0,39,122516,1000,143558,1,138341,1,1,122701,123215,1,119703,1,1,128613,1,103754
1,17807,0,37,119657,3000,303218,1,128051,1,1,120656,120005,1,118832,1,1,128535,1,86522
0,13850,0,37,119650,2000,320873,1,127961,1,1,187488,119998,1,118832,1,1,127050,1,83243
1,2961,0,46,260178,157000,143022,1,138886,1,1,297373,260876,1,120629,1,1,129728,1,31513
1,17243,0,31,138892,1000,132817,1,128299,1,1,189659,139240,1,118832,2,1,28321,1,111756
1,6089,0,37,119193,1000,303218,1,128412,1,1,119777,119542,1,118832,1,1,130556,2,119439
1,4949,0,40,119296,2000,130723,1,128290,1,1,245658,119643,1,119161,1,1,128575,1,87332
1,3920,0,42,120281,6000,333172,1,138341,1,1,136541,120978,1,119703,2,1,128607,1,25501
1,1526,0,50,119657,4000,303218,1,128224,1,1,242854,120005,1,118832,1,1,129212,1,41407
1,4413,0,42,119296,1000,130723,1,128299,1,1,152698,119643,1,118832,1,1,127146,1,29501
1,5059,0,47,120656,1000,143022,1,138886,1,1,313033,121354,1,120629,1,1,127251,1,31518
1,1177,0,40,120064,1000,315517,1,137960,1,1,121648,120763,1,119703,1,1,126972,1,50462
1,1689,0,50,119715,1000,142485,1,138325,1,2,183473,182173,1,119703,1,1,127127,1,43282
1,1940,0,43,120429,2000,333172,1,138341,1,1,124058,121127,1,119703,1,1,127134,1,90317
1,3962,0,43,118779,10000,303218,1,128342,1,1,119777,119126,1,118832,1,1,127063,1,96228
0,16015,0,33,120824,2000,317393,1,139254,1,1,284530,283230,1,119703,1,1,127877,1,87339
1,5174,0,36,119167,1000,130594,1,128290,2,1,120165,119514,1,119161,1,1,128439,1,41407
1,46291,0,45,120386,1000,143241,1,138325,1,1,127623,121083,1,119703,1,1,134930,1,88539
1,1485,0,47,119707,12000,130723,1,128342,1,1,129031,120055,1,118832,1,1,127382,1,33058
1,22468,0,48,120521,2000,333172,1,138411,1,1,283185,121219,1,119703,1,1,134849,1,14811
1,25782,0,33,119441,1000,32020,1,128006,2,1,294066,119789,1,118877,1,1,126557,1,31052
1,19679,0,33,120528,9000,315517,2,138411,1,1,121648,121226,1,119703,1,1,127101,1,42514
1,17193,0,33,124826,5000,44391,1,138298,1,1,201429,125524,1,119703,1,1,127430,1,28449
1,21881,0,25,122391,4000,142996,1,137967,1,1,163749,123089,1,119703,1,1,135194,1,38430
1,49133,0,34,122696,1000,143051,1,179714,1,1,163459,123394,2,119954,1,1,126998,1,39833
1,13172,0,38,119715,1000,142485,1,138223,1,1,141667,182173,1,119703,1,1,129155,1,84614
1,2304,0,46,121645,18000,131259,1,127902,1,1,120830,121994,1,118773,1,1,129100,1,36050
1,50506,0,43,118759,4000,130186,1,128079,1,1,120048,119106,2,118950,1,1,126427,1,47856
1,17255,0,44,124810,4000,142996,1,138298,1,1,273148,125509,1,119703,1,1,127015,1,27385
1,120359,0,42,121217,2000,130723,1,130342,1,1,129973,121565,1,121213,1,1,127625,1,26415
1,2628,0,56,119190,3000,130504,1,128326,1,1,170236,119539,1,118832,1,1,130528,1,52673
1,53208,0,42,119203,2000,130630,1,128299,1,1,202185,308245,1,118832,1,1,28321,1,311186
1,17576,0,52,119190,2000,130504,1,128025,1,1,170236,119539,1,92132,1,1,127255,1,10157
1,26707,0,36,124722,3000,130186,1,127932,1,1,137104,125071,1,118803,1,1,126427,1,76854
0,34648,0,30,120064,1000,315517,1,138325,1,1,121648,120763,1,119703,1,1,126940,1,13963
1,82227,0,38,120429,1000,333172,1,138461,1,1,143429,121127,1,120057,1,1,127142,1,52167
1,34140,0,42,119193,2000,303218,1,128177,1,1,119777,119542,1,119426,1,1,126869,1,44095
1,51122,0,44,119441,1000,32020,1,127876,1,1,191867,119789,1,118747,1,2,126427,1,32318
1,5469,0,39,119650,1000,315517,1,138325,1,1,121648,120347,1,119703,1,1,127011,1,52325
1,16545,0,41,120835,10000,130504,1,128025,1,1,170236,121183,1,92132,1,1,131487,1,84603
0,4700,0,36,120381,1000,143236,1,138223,1,1,129408,121078,1,119703,1,1,130918,1,25834
1,14617,0,41,119640,2000,142485,1,138578,1,1,121639,120338,1,119954,1,1,126515,1,36573
1,111973,0,40,120528,2000,315517,1,138298,1,2,121648,121226,1,119703,1,1,127403,1,36030
1,70103,0,46,121706,8000,142803,1,138024,1,1,172107,122404,1,93003,1,1,126822,1,90128
1,4583,0,36,118779,1000,303218,1,128385,1,1,119777,119126,1,118832,1,1,130510,1,12990
0,15931,0,30,121593,1000,143236,1,138050,1,1,315364,122291,1,119703,1,1,128924,1,26154
1,2086,0,42,120065,6000,131483,1,128075,1,2,278293,120413,1,118851,1,1,140417,1,86639
1,17658,0,43,119190,1000,130504,1,128051,1,1,170236,119539,1,118832,1,1,127255,1,44592
1,16575,0,36,119657,4000,303218,1,128326,2,1,119777,120005,1,118832,1,1,128867,1,10160
1,50506,0,41,118751,32000,32020,1,128079,1,1,120048,119100,1,118950,1,1,126427,1,47856
1,4638,0,39,119657,1000,303218,3,128299,1,1,123744,120005,1,118832,1,1,127730,1,51748
1,311733,0,34,122734,1000,142996,1,137901,1,1,124733,123432,1,119644,1,1,127127,1,11287
1,5271,0,41,119853,1000,130594,1,128887,1,1,190242,120201,4,119758,1,1,128675,1,82281
0,2649,0,41,119650,1000,315517,1,138384,1,1,121648,120347,1,119703,1,1,132521,1,46186
1,25790,0,27,118771,1000,32020,1,128006,1,1,119768,119120,1,118877,1,1,126490,1,47080
1,16280,0,42,120585,2000,143241,1,138325,1,1,132489,121283,1,119703,1,1,127553,1,45060
1,4398,0,44,120739,114000,317393,1,138572,1,1,289848,121437,1,120315,1,1,127243,2,28208
1,16591,0,36,255267,1000,266694,1,127968,1,1,256265,236572,1,118832,1,1,205372,1,34179
1,275562,0,47,119441,1000,32020,1,127876,1,1,181731,119789,1,118747,1,1,126427,1,40369
1,11550,0,39,121877,115000,144732,1,137928,1,1,200840,122574,1,119671,1,1,126540,2,30435
1,60198,0,44,118751,3000,32020,1,128010,1,1,119757,119100,1,118787,1,1,126490,1,52997
1,70497,0,32,118751,1000,32020,1,128953,1,1,119757,119100,1,119824,1,1,126490,1,23707
1,15664,0,51,119203,6000,130630,2,128342,1,1,312479,308245,1,118832,1,1,128345,1,10054
1,4329,0,42,119620,2000,130752,1,129090,1,1,273205,119968,1,119933,1,1,127063,1,83126
1,4987,0,37,122088,1000,143022,2,138341,1,1,315102,122786,1,119703,1,1,128218,1,86037
1,15982,0,48,126543,2000,146218,1,138289,1,1,155989,127241,1,120032,1,1,130237,1,27133
1,3260,0,41,119193,1000,303218,1,128342,1,1,119777,119542,1,118832,1,1,127063,1,89670
1,16793,0,42,119650,1000,315517,2,150598,1,1,121648,120347,1,120804,1,1,148297,1,84548
1,1106,0,48,118926,2000,130186,1,128326,1,1,119925,119275,1,118832,1,1,128379,1,43851
1,1568,0,40,118926,1000,130186,1,128224,1,1,122385,119275,1,118832,1,1,131722,1,54437
1,5247,0,36,121177,1000,143022,1,138341,1,1,137428,121875,1,119703,1,1,128218,1,15309
1,27120,0,35,119736,1000,130697,1,128326,1,1,149019,120084,1,118832,1,1,127056,2,42376
1,1651,0,43,120491,1000,143051,1,138325,2,1,133876,121189,1,119703,1,1,128791,1,85598
1,16875,0,41,120074,1000,142929,1,138411,1,1,314350,309466,1,119703,1,1,128990,1,288529
1,18468,0,38,118779,1000,303218,1,128051,1,1,242854,119126,1,118832,2,1,127370,1,54618
1,4621,0,38,120064,1000,315517,1,138298,1,1,121648,120763,1,119703,1,1,128917,1,90839
1,6238,0,35,123142,1000,130942,1,128326,1,1,124141,123490,1,118832,1,1,130194,1,25328
1,15931,0,43,120429,10000,333172,1,138050,1,1,130039,121127,1,119703,1,1,128606,1,106652
1,4375,0,35,119193,1000,303218,1,128051,1,1,120319,119542,1,118832,1,1,128291,1,38845
1,32832,0,42,120824,1000,317393,1,138255,1,1,197386,283230,1,119998,1,1,127243,1,30358
1,5064,0,40,120578,1000,143022,1,138341,1,1,137428,121276,1,119703,1,1,128218,1,36129
1,819,0,37,120528,4000,315517,1,138411,1,1,244725,121226,1,119703,1,1,136142,1,12388
1,17628,0,45,118771,4000,32020,1,128006,1,1,119768,119120,1,118877,1,1,126433,1,46024
1,5030,2,38,120656,1000,143022,1,138341,3,1,313033,121354,1,119703,1,1,127599,1,36496
0,6913,0,37,120312,2000,44319,1,137977,2,1,125055,121010,1,119720,1,1,126540,1,37552
1,55292,0,36,122016,2000,261917,1,128025,1,1,283260,122364,1,92132,1,1,126576,2,90661
1,1792,0,37,127537,1000,143241,1,137960,1,1,141164,128235,1,119703,2,1,127843,1,89228
1,31869,0,46,119441,5000,32020,1,41009,1,1,245927,119789,1,119056,1,1,126433,1,88229
1,4292,0,55,122287,1000,131003,1,128326,1,1,131429,122635,1,118832,1,1,127293,1,16815
1,83952,0,43,119515,16000,130942,1,148798,1,1,255809,119862,1,139669,1,1,129088,1,85065
1,1484,0,42,122434,1000,315517,1,138341,1,1,124432,123132,1,119703,1,1,129342,1,113256
1,5048,0,37,120306,1000,130723,1,128342,1,1,135557,120654,1,118832,1,1,128675,1,35497
1,27232,0,31,119132,1000,303218,1,128385,1,1,134586,119480,1,118832,1,1,127241,1,50252
1,5290,0,36,120724,1000,142893,1,138886,1,1,192113,121422,1,120629,1,1,128746,1,85408
1,5040,0,42,119785,1000,130723,1,128887,1,1,311162,120133,1,119758,1,1,127180,1,41407
1,2895,0,30,129590,1000,142945,1,138218,1,2,132094,130289,1,119961,1,1,126964,1,15900
1,4003,0,37,119650,1000,315517,1,138341,1,1,121648,120347,1,119703,1,1,130632,1,49518
1,4773,0,31,120074,1000,142929,1,138298,2,1,208335,309466,1,119703,1,4,126921,1,91486
1,2799,0,36,119325,1000,130752,1,128299,1,1,132005,119672,1,118832,1,1,127332,1,43310
1,5767,0,44,122322,1000,143360,1,138444,1,1,141235,123020,2,119703,1,1,127453,1,83892
1,69107,0,49,118844,1000,130186,1,128299,1,1,145689,180952,1,118832,1,1,126519,1,38908
1,8534,0,31,119608,1000,131035,1,128385,1,1,120606,119955,1,118832,1,1,127282,1,44513
1,109381,0,37,118844,1000,130186,1,130140,1,1,120909,180952,1,121011,1,1,128691,1,84971
1,26001,0,39,118844,1000,130186,1,127916,1,1,162628,180952,1,118787,1,1,127148,1,29431
1,25299,0,31,120281,1000,333172,1,138325,1,1,262110,120978,1,119703,1,1,126940,1,35377
0,2612,0,42,129102,9000,16972,1,128299,1,1,304701,129451,1,118832,1,1,128959,1,24794
0,51025,0,34,119193,8000,303218,1,128412,1,1,119777,119542,1,118832,1,1,129075,1,38397
1,51110,0,44,124604,1000,27728,1,138223,1,1,261252,125302,1,119703,1,1,128670,1,85970
1,7106,0,46,120528,1000,315517,1,138384,1,1,125668,121226,1,119703,1,1,132464,1,49398
1,2616,0,45,119953,2000,305094,1,128169,1,1,269823,282009,1,119040,1,2,126494,1,34886
1,3906,0,34,120064,1000,315517,1,138223,1,2,121648,120763,1,119703,1,1,128670,1,49520
1,66737,0,32,119441,1000,32020,1,127989,1,1,127808,119789,1,118860,1,1,126469,1,83439
1,7557,0,33,119193,1000,303218,1,128342,1,1,119777,119542,1,118832,1,1,128536,1,83623
1,69163,0,38,119715,1000,142485,1,138089,1,1,121759,182173,1,119832,1,1,128044,1,47870
1,187,0,42,119193,1000,303218,2,128412,1,1,119777,119542,1,118832,1,1,130188,1,51484
0,21051,0,36,120722,2000,130937,1,128299,1,1,168464,121070,1,118832,1,1,132298,1,27555
1,15534,0,44,120460,1000,131003,1,128051,1,1,134546,120808,1,118832,1,1,128966,1,83153
1,3710,0,38,119193,7000,303218,1,128412,1,1,119777,119542,1,118832,1,1,134778,1,13812
1,70,0,39,119650,2000,315517,1,138411,1,1,121648,120347,1,119703,1,1,128588,1,48949
1,51803,0,45,120018,1000,317393,1,138039,1,1,122548,120716,2,119644,1,3,127176,1,51080
1,4579,0,31,129973,2000,29271,1,138223,1,1,306572,130672,1,119703,1,1,129171,1,42709
1,8711,0,40,122434,15000,315517,1,138325,1,1,131664,123132,1,119703,1,1,128938,1,45086
1,31888,0,28,119622,3000,44319,1,51008,1,3,121628,120321,1,119927,1,1,126504,1,48341
1,5921,0,33,120196,8000,32092,1,127939,1,1,138211,120544,1,118800,1,1,126490,1,45963
1,6295,0,35,118779,4000,303218,1,128342,1,1,242854,119126,1,118832,1,1,126986,1,43720
1,7097,0,35,119558,8000,320873,1,128342,1,1,264271,119906,1,118832,1,1,127063,1,45110
0,49320,0,41,120064,1000,315517,1,138298,1,1,121648,120763,1,119703,1,1,127815,1,17679
1,46683,0,45,120824,1000,317393,1,139279,1,1,134655,283230,1,121022,1,1,126565,1,28208
1,17344,0,47,134179,1000,130504,1,128385,1,1,137017,134527,1,118832,1,1,127295,1,87311
0,13831,0,35,120447,1000,143302,1,138050,1,1,128789,121144,1,119703,1,1,129037,1,30500
1,64771,0,40,118751,2000,32020,1,128079,1,1,143830,119100,1,118950,1,1,126427,1,51745
1,3771,0,43,119510,1000,130937,1,128299,1,1,312460,119857,1,118832,1,1,126909,1,34868
1,16116,0,45,121520,3000,130697,1,128326,1,1,242850,121868,1,118832,1,2,128720,1,54581
1,8538,0,37,119190,1000,130504,1,128385,1,1,170236,119539,1,118832,1,1,128503,1,49575
1,56700,0,38,122734,1000,142996,1,139089,1,1,124733,123432,1,120804,1,1,127127,1,43282
1,54299,0,44,128596,2000,130942,1,130342,1,1,133159,128944,1,121213,1,1,127180,1,52219
0,3131,0,37,120306,1000,130723,1,128342,1,1,129031,120654,1,118832,1,2,128147,1,34373
1,55656,0,40,119868,2000,305094,1,129280,1,1,138619,120216,1,120151,1,1,127172,1,50451
1,55593,0,31,120061,1000,142803,1,138050,1,1,272401,120760,1,119703,1,1,127599,1,90953
1,8186,0,39,119190,1000,130504,1,128385,1,1,170236,119539,1,118832,1,1,128503,1,13812
1,4148,0,39,118779,1000,303218,2,128051,1,1,119777,119126,1,118832,1,1,127430,1,48460
1,4927,0,39,121370,1000,130723,1,128299,1,1,224996,121718,1,118832,1,1,127007,1,41407
1,25011,0,36,119772,1000,142485,1,138024,1,1,121890,120470,1,93003,1,1,126647,1,91660
1,70301,1,35,120267,4000,142929,1,138341,1,1,315364,120965,1,119703,1,1,127057,1,41336
0,7000,0,38,119650,1000,320873,1,128299,1,1,281314,119998,1,118832,1,1,127332,1,29112
1,1430,0,45,119325,1000,130752,1,127902,1,1,132005,119672,1,118773,1,1,127730,1,89692
1,889,0,40,122516,3000,143558,1,137960,1,1,122701,123215,1,119703,1,1,130835,1,41135
1,4361,0,45,119203,14000,130630,1,128342,1,1,134590,308245,1,118832,1,1,127209,1,36434
1,2391,0,34,119558,1000,320873,1,127961,1,1,160993,119906,1,118832,1,1,127050,1,42491
1,6065,0,34,119650,3000,320873,1,128412,1,1,281314,119998,1,118832,1,1,128919,1,50416
1,14776,1,38,119576,3000,131003,1,128224,1,1,134525,119923,1,118832,1,1,128603,1,83615
1,111973,0,37,119650,1000,315517,1,138298,1,1,244725,120347,1,119703,1,1,127403,1,25808
1,33682,0,44,119441,2000,32020,1,128090,1,1,133565,119789,1,118961,1,1,126490,1,49767
1,16545,0,45,118779,1000,303218,1,128025,1,1,119777,119126,1,92132,1,1,126751,1,53380
1,6500,0,35,118779,1000,303218,1,128342,2,1,242854,119126,1,118832,1,1,127370,1,50780
1,19368,0,53,118771,244000,32020,1,128095,1,1,130499,119120,1,118966,1,1,126490,1,28449
1,11970,0,50,120074,3000,142929,1,138341,1,1,298227,309466,1,119703,1,1,127762,1,13989
1,13881,0,41,120267,4000,142929,2,138325,1,1,314350,120965,1,119703,1,1,128615,1,34152
1,4511,0,37,120064,1000,315517,1,138444,2,1,122190,120763,1,119703,1,1,127684,1,32454
1,17128,0,35,119797,2000,142485,1,138223,1,1,291093,120496,1,119703,1,1,127023,1,69064
1,6024,0,42,120064,5000,315517,1,138444,1,1,121648,120763,1,119703,1,1,24852,1,54088
1,13809,0,33,121645,1000,131259,1,127961,1,1,129396,121994,1,118832,1,1,126453,1,10424
1,13459,0,40,119080,1000,282787,1,128224,1,1,281314,119428,1,118832,1,1,128330,3,12401
1,49979,0,38,118779,1000,303218,1,128224,1,1,119777,119126,1,118832,1,1,126952,1,52516
1,15924,0,39,128260,1000,143210,1,138050,1,1,130259,128958,1,119703,1,1,128976,1,43384
1,52499,0,41,118751,1000,32020,1,127983,1,1,119768,119100,1,118854,1,1,126427,1,88229
1,52953,0,37,120312,1000,44319,1,138100,1,1,124619,121010,1,119632,1,1,126498,1,52512
1,59802,0,40,125896,6000,143022,1,138384,1,1,308371,126594,1,119703,1,1,130581,1,89228
1,29799,0,31,119797,1000,142485,1,138050,1,1,132705,120496,1,119703,1,1,127863,1,53108
1,2307,0,42,120703,1000,143558,1,138411,1,1,122701,121400,1,119703,1,1,286313,1,42406
1,4982,0,54,120381,2000,143236,1,138298,1,1,314331,121078,1,119703,1,1,126980,1,45060
1,15541,0,35,119510,1000,130937,1,127902,1,1,312460,119857,1,118773,1,1,128608,1,90124
1,127756,0,42,119325,1000,130752,1,128224,1,1,132005,119672,1,118832,1,1,126952,1,15827
1,5406,1,46,120064,2000,315517,1,138411,1,1,121648,120763,1,119703,1,1,130627,1,15494
1,46261,0,37,122696,1000,143051,1,138325,1,1,133876,123394,1,119703,1,1,126998,1,39831
1,51779,0,38,119193,1000,303218,1,128412,1,1,119777,119542,1,118832,1,2,128919,1,16680
1,70203,0,44,119270,1000,130697,1,127968,1,1,195512,119617,1,118832,1,1,28215,1,88229
1,20534,0,50,120312,4000,44319,1,138218,1,1,128910,121010,1,119961,1,1,126841,1,41995
1,65544,0,44,119650,1000,315517,1,137999,1,1,121648,120347,1,119742,1,1,127801,1,51001
1,15413,0,43,124543,3000,134215,1,128256,1,1,214381,124891,2,119127,3,1,128345,1,10106
1,18199,0,37,118779,1000,303218,1,128342,1,1,119777,119126,1,118832,1,1,127063,1,28868
1,17705,0,47,118751,3000,32020,1,128219,1,1,130652,119100,1,119090,1,1,126490,1,47256
1,5446,0,35,120064,1000,315517,1,138341,1,1,244725,120763,1,119703,1,1,128613,1,14811
1,3136,1,40,121662,5000,130723,1,128299,1,1,310994,122010,1,118832,1,1,127007,1,82893
1,52471,0,42,119650,1000,315517,1,138211,1,1,121648,120347,1,119954,1,1,132092,1,14811
1,5311,0,36,121217,5000,130723,1,128290,1,1,276149,121565,1,119161,1,1,127209,1,89882
1,1430,0,44,119325,1000,130752,1,127902,1,1,132005,119672,1,118773,1,1,127730,1,88500
1,50539,0,41,120312,4000,44319,1,137909,1,1,251541,121010,1,119652,1,1,126561,1,24802
1,4687,0,35,119193,1000,303218,1,128326,1,1,119777,119542,2,118832,1,1,126940,1,42217
1,51109,0,40,119699,1000,130723,1,131012,1,1,156757,120047,1,121735,1,1,132815,1,12856
1,32316,0,41,124711,1000,144293,1,139690,1,2,310537,125409,1,121433,1,1,127255,1,13989
